title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
T. Stanford,"Ebenezer Mack, born 1765-died 1833",T. Stanford,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1957.3.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.2_1]
The Davis Children (Eliza Cheever Davis and John Derby Davis),"Edward Savage, born Princeton, MA 1761-died Princeton, MA 1817","Eliza Cheever Davis
John Derby Davis",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/SAAM-2019.6.12_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2019.6.12_1]
The Misses Mary and Hannah Murray,"John Trumbull, born Lebanon, CT 1756-died New York City 1843","Hannah Murray
Mary Murray",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1806""}","https://ids.si.edu/ids/iiif/SAAM-1988.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1988.2_1]
The Wiley Family,"William Williams, born Bristol, England 1727-died Bristol, England 1791",John Wiley,"male, female",Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1771""}","https://ids.si.edu/ids/iiif/SAAM-2006.12.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.2_1]
Theresa Diana Levesque,"Ambrose Duval, born ca. 1778-died 1860",Theresa Diana Levesque,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1810""}","https://ids.si.edu/ids/iiif/SAAM-1975.59.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.2_1]
Thomas Ash II,"Thomas Sully, 19 Jun 1783 - 5 Nov 1872","Thomas Ash II, 1785 - after 1824",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1807""}","https://ids.si.edu/ids/iiif/NPG-NPG_2008_4Ash_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_4Ash_d1]
Thomas Jefferson,"Mather Brown, 7 Oct 1761 - 25 May 1831","Thomas Jefferson, 13 Apr 1743 - 4 Jul 1826",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United Kingdom\\England\\Greater London\\London""}","{""Date"": ""1786""}","https://ids.si.edu/ids/iiif/NPG-NPG_99_66Jefferson_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_99_66Jefferson_d1]
Thomas Lee Shippen,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Thomas Lee Shippen,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/SAAM-1999.87.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.4_1]
Thomas McKean,,"Thomas McKean, 19 Mar 1734 - 24 Jun 1817",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""after 1787""}","https://ids.si.edu/ids/iiif/NPG-NPG_66_63McKean-000003/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_63McKean-000003]
Thomas Paine,"Laurent Dabos, 1761 - 1835","Thomas Paine, 29 Jan 1737 - 8 Jun 1809",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1792""}","https://ids.si.edu/ids/iiif/NPG-NPG_2008_5/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_5]
Thomas Pinckney,"John Trumbull, 6 Jun 1756 - 10 Nov 1843","Thomas Pinckney, 23 Oct 1750 - 2 Nov 1828",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1791""}","https://ids.si.edu/ids/iiif/NPG-NPG_2007_211/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_211]
Thomas Say,"Joseph Wood, c. 1778 - 1830","Thomas Say, 27 Jun 1787 - 10 Oct 1834",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1812""}","https://ids.si.edu/ids/iiif/NPG-NPG_72_112Say-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_112Say-000001]
Thomas Stone,"Robert Edge Pine, c. 1730 - 1788","Thomas Stone, 1743 - 5 Oct 1787",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1785""}","https://ids.si.edu/ids/iiif/NPG-NPG_71_44/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_71_44]
"Thomas Williams, of Annapolis","Robert Field, born Gloucestershire, England ca. 1769-died Kingston, Jamaica 1819",Thomas Williams,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1978.67.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1978.67.2_1]
"Three-Way Portrait of Thomas Jefferson, James Monroe, and Unidentified Native American (William McIntosh?)",Unidentified,"Thomas Jefferson
unidentified
James Monroe",male,Regular,"{""Type"": ""Painting\nFolk Art""}",,"{""Date"": ""early 19th century""}","https://ids.si.edu/ids/iiif/SAAM-1967.90.1_4/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.90.1_4]
West Family in the Studio Garden,"Benjamin West, 10 Oct 1738 - 11 Mar 1820","Benjamin West, 10 Oct 1738 - 11 Mar 1820","male, female",Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1808-09""}","https://ids.si.edu/ids/iiif/NPG-NPG_77_34Westfamily-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_34Westfamily-000004]
William Boswell Lamb,Unidentified,William Roswell Lamb,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1980.126.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.4_1]
William Carmichael,Unidentified Artist,"William Carmichael, ? - Feb 1795",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1770s""}","https://ids.si.edu/ids/iiif/NPG-NPG_2010_49_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_49_int]
William Dunlap self-portrait,"William Dunlap, 18 Feb 1766 - 28 Sep 1839","William Dunlap, 18 Feb 1766 - 28 Sep 1839",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1805""}","https://ids.si.edu/ids/iiif/NPG-NPG_2013_40/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_40]
William Linn,,"William Linn, 27 Feb 1752 - 8 Jan 1808",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""early 1790s""}","https://ids.si.edu/ids/iiif/NPG-NPG_2007_11Linn-000003/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_11Linn-000003, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_11Linn_int-000001]"
William Linn,"John Wesley Jarvis, 1780 - 14 Jan 1840","William Linn, 27 Feb 1752 - 8 Jan 1808",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1805""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_2007_12Linn-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2007_12Linn-000001]
William Mather Smith,"Archibald Robertson, born Moneymusk, Scotland-died New York City 1835",William Mather Smith,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1944.7.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.2_1]
William McIntyre,"John Wesley Jarvis, born South Shields, England 1780-died New York City 1840",William McIntyre,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""early 19th century""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.22_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.22_1]
William Moultrie,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","William Moultrie, 1730 - 27 Sep 1805",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1782""}","https://ids.si.edu/ids/iiif/NPG-NPG_65_57/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_57]
William Shippen,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",William Shippen,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1794""}","https://ids.si.edu/ids/iiif/SAAM-1999.87.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.5_1]
William Thornton,"Robert Field, born Gloucestershire, England ca. 1769-died Kingston, Jamaica 1819",William Thornton,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1960.6.1_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1960.6.1_2]
William Wirt,"Cephas Thompson, 1 Jul 1775 - 6 Nov 1856","William Wirt, 8 Nov 1772 - 18 Feb 1834",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1809-10""}","https://ids.si.edu/ids/iiif/NPG-NPG_89_11/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_11]
Young Woman of the Chase Family,Unidentified,Chase,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1810""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.17_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.17_1]
