title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
Conrad Wunder,Unidentified,Conrad Wunder,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1797""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.52_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.52_1]
Daniel Leonard,Unidentified Artist,"Daniel Leonard, 18 May 1740 - 27 Jun 1829",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1770""}","https://ids.si.edu/ids/iiif/NPG-A8000002A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-A8000002A_1]
Daniel Morgan,Unidentified Artist,"Daniel Morgan, 1736 - 6 Jul 1802",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1780""}","https://ids.si.edu/ids/iiif/NPG-NPG_2001_3Morgan-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_3Morgan-000002]
David Livingston,"Joseph Wood, born Clarkstown, NY 1778-died Washington, DC 1830",David Livingston,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.51_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.51_1]
David McClellan,"Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843",David McClellan,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1956.7.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.7.1_1]
David Ramsay,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","David Ramsay, 2 Apr 1749 - 8 May 1815",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia""}","{""Date"": ""1771""}","https://ids.si.edu/ids/iiif/NPG-B4000160A_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-B4000160A_2]
David Rittenhouse,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","David Rittenhouse, 8 Apr 1732 - 26 Jun 1796",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1796""}","https://ids.si.edu/ids/iiif/NPG-NPG_98_73Rittenhouse_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_73Rittenhouse_d1]
David Wiley,"Charles Peale Polk, 17 Mar 1767 - 6 May 1822","David Wiley, c. 1768 - c. 1813",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1801""}","https://ids.si.edu/ids/iiif/NPG-NPG_87_244Wiley-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_244Wiley-000001]
Don José Mas Ferrer,"José Campeche y Jordán, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809",Don Jose Mas Ferrer,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1996.91.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.1_1]
Dr. Elisha Poinsett,"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",Elisha Poinsett,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801-1802""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.26_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.26_1]
Dr. William Beekman,"Alexander Robertson, born Aberdeen, Scotland-died New York City 1841",William Beekman,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1942.11.8_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.8_1]
Elizabeth Depeyster Peale,"James Peale, 1749 - 24 May 1831","Elizabeth Depeyster Peale, 1765 - 1804",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_2009_49Depeyster-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2009_49Depeyster-000004]
Elizabeth Du Hamel?,"Henry Jacob Burch, Jr., English, born 1763-died after 1834",Elizabeth Du Hamel,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.40_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.40_1]
Elizabeth Grimké Rutledge,,"Elizabeth Grimké Rutledge, ? - 1792",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1791""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_97_191Rutledgealt-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_97_191Rutledgealt-000002]
